Ms,maxfield,t
-1430.0,-8.938414241512625,5176.0
-1406.0,-8.966410367852362,5177.0
-1422.0,-8.994052515663727,5178.0
-1394.0,-9.021339593682027,5179.0
-1424.0,-9.048270524660177,5180.0
-1424.0,-9.074844245411164,5181.0
-1426.0,-9.101059706849966,5182.0
-1390.0,-9.12691587403502,5183.0
-1426.0,-9.152411726209152,5184.0
-1398.0,-9.1775462568398,5185.0
-1434.0,-9.202318473658705,5186.0
-1408.0,-9.226727398701161,5187.0
-1398.0,-9.25077206834458,5188.0
-1360.0,-9.274451533346596,5189.0
-1402.0,-9.29776485888251,5190.0
-1402.0,-9.320711124582118,5191.0
-1428.0,-9.343289424566114,5192.0
-1362.0,-9.365498867481929,5193.0
-1398.0,-9.387338576538731,5194.0
-1390.0,-9.408807689542257,5195.0
-1394.0,-9.429905358928632,5196.0
-1348.0,-9.450630751798048,5197.0
-1350.0,-9.47098304994743,5198.0
-1374.0,-9.490961449902942,5199.0
-1394.0,-9.51056516295152,5200.0
-1392.0,-9.529793415172183,5201.0
-1364.0,-9.548645447466434,5202.0
-1354.0,-9.567120515588298,5203.0
-1354.0,-9.585217890173741,5204.0
-1346.0,-9.602936856769421,5205.0
-1372.0,-9.620276715860857,5206.0
-1340.0,-9.637236782900105,5207.0
-1358.0,-9.653816388332736,5208.0
-1346.0,-9.670014877624338,5209.0
-1364.0,-9.685831611286307,5210.0
-1322.0,-9.701265964901062,5211.0
-1340.0,-9.716317329146749,5212.0
-1362.0,-9.730985109821251,5213.0
-1366.0,-9.745268727865763,5214.0
-1354.0,-9.759167619387473,5215.0
-1356.0,-9.772681235681942,5216.0
-1338.0,-9.78580904325472,5217.0
-1348.0,-9.798550523842458,5218.0
-1360.0,-9.810905174433337,5219.0
-1366.0,-9.82287250728689,5220.0
-1334.0,-9.834452049953292,5221.0
-1334.0,-9.845643345292054,5222.0
-1350.0,-9.856445951489976,5223.0
-1314.0,-9.866859442078681,5224.0
-1340.0,-9.876883405951371,5225.0
-1332.0,-9.886517447379138,5226.0
-1332.0,-9.895761186026512,5227.0
-1336.0,-9.904614256966509,5228.0
-1328.0,-9.913076310695057,5229.0
-1340.0,-9.921147013144775,5230.0
-1350.0,-9.928826045698138,5231.0
-1342.0,-9.93611310520008,5232.0
-1324.0,-9.943007903969988,5233.0
-1316.0,-9.949510169812998,5234.0
-1322.0,-9.955619646030799,5235.0
-1308.0,-9.961336091431725,5236.0
-1306.0,-9.966659280340298,5237.0
-1288.0,-9.971589002606136,5238.0
-1310.0,-9.97612506361225,5239.0
-1292.0,-9.980267284282716,5240.0
-1306.0,-9.984015501089752,5241.0
-1304.0,-9.98736956606017,5242.0
-1342.0,-9.990329346781246,5243.0
-1302.0,-9.992894726405892,5244.0
-1306.0,-9.995065603657316,5245.0
-1348.0,-9.996841892833,5246.0
-1292.0,-9.998223523808088,5247.0
-1334.0,-9.99921044203816,5248.0
-1318.0,-9.999802608561371,5249.0
-1324.0,-10.0,5250.0
-1314.0,-9.999802608561371,5251.0
-1314.0,-9.999210442038162,5252.0
-1298.0,-9.998223523808091,5253.0
-1308.0,-9.996841892833,5254.0
-1344.0,-9.995065603657316,5255.0
-1340.0,-9.992894726405892,5256.0
-1324.0,-9.990329346781248,5257.0
-1344.0,-9.987369566060174,5258.0
-1352.0,-9.984015501089752,5259.0
-1332.0,-9.980267284282716,5260.0
-1304.0,-9.976125063612255,5261.0
-1316.0,-9.971589002606141,5262.0
-1326.0,-9.966659280340304,5263.0
-1342.0,-9.961336091431725,5264.0
-1344.0,-9.955619646030799,5265.0
-1344.0,-9.949510169813005,5266.0
-1312.0,-9.943007903969995,5267.0
-1314.0,-9.936113105200088,5268.0
-1302.0,-9.928826045698138,5269.0
-1332.0,-9.921147013144774,5270.0
-1324.0,-9.913076310695066,5271.0
-1318.0,-9.904614256966518,5272.0
-1334.0,-9.895761186026512,5273.0
-1362.0,-9.886517447379138,5274.0
-1342.0,-9.87688340595137,5275.0
-1354.0,-9.86685944207869,5276.0
-1310.0,-9.856445951489986,5277.0
-1314.0,-9.845643345292054,5278.0
-1354.0,-9.83445204995329,5279.0
-1374.0,-9.822872507286888,5280.0
-1320.0,-9.81090517443335,5281.0
-1350.0,-9.798550523842472,5282.0
-1314.0,-9.785809043254718,5283.0
-1326.0,-9.77268123568194,5284.0
-1334.0,-9.759167619387473,5285.0
-1404.0,-9.745268727865778,5286.0
-1382.0,-9.730985109821265,5287.0
-1290.0,-9.716317329146749,5288.0
-1348.0,-9.70126596490106,5289.0
-1372.0,-9.685831611286305,5290.0
-1346.0,-9.670014877624354,5291.0
-1356.0,-9.653816388332753,5292.0
-1328.0,-9.637236782900104,5293.0
